step	Energy 					Momentum
257  1.0037450172412810e+00  1.2595615942069358e+00
258  1.0037450172412887e+00  1.2589002948415808e+00
259  1.0037450172412843e+00  1.2589750683364953e+00
260  1.0037450172412852e+00  1.2596734536207344e+00
261  1.0037450172412834e+00  1.2607030753255275e+00
262  1.0037450172412805e+00  1.2581353255934626e+00
263  1.0037450172412872e+00  1.2578765018546310e+00
264  1.0037450172412885e+00  1.2567962840493025e+00
265  1.0037450172412816e+00  1.2551397298192064e+00
266  1.0037450172412901e+00  1.2570056218757328e+00
267  1.0037450172412821e+00  1.2563226830488625e+00
268  1.0037450172412850e+00  1.2583744654254967e+00
269  1.0037450172412845e+00  1.2584328205512316e+00
270  1.0037450172412847e+00  1.2588753614689483e+00
271  1.0037450172412825e+00  1.2574314113681504e+00
272  1.0037450172412847e+00  1.2573548919119000e+00
273  1.0037450172412847e+00  1.2572349649907870e+00
274  1.0037450172412854e+00  1.2586542660967703e+00
275  1.0037450172412818e+00  1.2569669364972444e+00
276  1.0037450172412823e+00  1.2570071195326082e+00
277  1.0037450172412814e+00  1.2571556726358077e+00
278  1.0037450172412834e+00  1.2565390013821442e+00
279  1.0037450172412858e+00  1.2585413370291287e+00
280  1.0037450172412852e+00  1.2582856037117873e+00
281  1.0037450172412838e+00  1.2574760920705170e+00
282  1.0037450172412870e+00  1.2598718227687684e+00
283  1.0037450172412852e+00  1.2599977071724568e+00
284  1.0037450172412852e+00  1.2598110971963163e+00
285  1.0037450172412812e+00  1.2578949918458027e+00
286  1.0037450172412843e+00  1.2584199961417173e+00
287  1.0037450172412827e+00  1.2619265386471650e+00
288  1.0037450172412816e+00  1.2603251725726061e+00
289  1.0037450172412832e+00  1.2581039309918014e+00
290  1.0037450172412823e+00  1.2579401135750390e+00
291  1.0037450172412850e+00  1.2595063256131749e+00
292  1.0037450172412856e+00  1.2572400806579223e+00
293  1.0037450172412825e+00  1.2586555489907290e+00
294  1.0037450172412865e+00  1.2578697051634689e+00
295  1.0037450172412870e+00  1.2563291453929577e+00
296  1.0037450172412812e+00  1.2570603530461097e+00
297  1.0037450172412863e+00  1.2538273721923643e+00
298  1.0037450172412823e+00  1.2578783455778522e+00
299  1.0037450172412847e+00  1.2565060507089711e+00
300  1.0037450172412843e+00  1.2543720986069469e+00
301  1.0037450172412865e+00  1.2561492195006172e+00
302  1.0037450172412847e+00  1.2576570211207492e+00
303  1.0037450172412805e+00  1.2575025756375373e+00
304  1.0037450172412827e+00  1.2591977126716309e+00
305  1.0037450172412883e+00  1.2610505729411461e+00
306  1.0037450172412823e+00  1.2588333902156195e+00
307  1.0037450172412841e+00  1.2598824087377221e+00
308  1.0037450172412865e+00  1.2573231538431258e+00
309  1.0037450172412874e+00  1.2570061065509939e+00
310  1.0037450172412852e+00  1.2564188893658719e+00
311  1.0037450172412850e+00  1.2543209404220383e+00
312  1.0037450172412838e+00  1.2542433285334489e+00
313  1.0037450172412834e+00  1.2563195684650263e+00
314  1.0037450172412845e+00  1.2555313873826455e+00
315  1.0037450172412827e+00  1.2539896854583248e+00
316  1.0037450172412861e+00  1.2533764489749684e+00
317  1.0037450172412847e+00  1.2527140085595916e+00
318  1.0037450172412845e+00  1.2542256581228859e+00
319  1.0037450172412832e+00  1.2542589599298002e+00
320  1.0037450172412821e+00  1.2553634618741909e+00
321  1.0037450172412827e+00  1.2567160354288653e+00
322  1.0037450172412892e+00  1.2544717553616014e+00
323  1.0037450172412847e+00  1.2554398395257931e+00
324  1.0037450172412838e+00  1.2536001998231088e+00
325  1.0037450172412863e+00  1.2535529787575761e+00
326  1.0037450172412874e+00  1.2542885010698204e+00
327  1.0037450172412838e+00  1.2542810937624647e+00
328  1.0037450172412803e+00  1.2548035476517128e+00
329  1.0037450172412850e+00  1.2543546632295595e+00
330  1.0037450172412830e+00  1.2566243084227597e+00
331  1.0037450172412843e+00  1.2548991431126042e+00
332  1.0037450172412814e+00  1.2557672412896359e+00
333  1.0037450172412825e+00  1.2560863290692919e+00
334  1.0037450172412861e+00  1.2548079648306225e+00
335  1.0037450172412847e+00  1.2539975733918798e+00
336  1.0037450172412841e+00  1.2568388276405571e+00
337  1.0037450172412883e+00  1.2571137187781851e+00
338  1.0037450172412845e+00  1.2571318125415798e+00
339  1.0037450172412827e+00  1.2576977553438478e+00
340  1.0037450172412856e+00  1.2575759449853761e+00
341  1.0037450172412845e+00  1.2570207710601782e+00
342  1.0037450172412847e+00  1.2573097122016412e+00
343  1.0037450172412876e+00  1.2564213520783269e+00
344  1.0037450172412834e+00  1.2589520450623322e+00
345  1.0037450172412852e+00  1.2588339544791267e+00
346  1.0037450172412836e+00  1.2611198710968199e+00
347  1.0037450172412863e+00  1.2582712638205926e+00
348  1.0037450172412810e+00  1.2556413366921135e+00
349  1.0037450172412850e+00  1.2585419532917674e+00
350  1.0037450172412845e+00  1.2584431666342355e+00
351  1.0037450172412850e+00  1.2608537503599186e+00
352  1.0037450172412845e+00  1.2588665364741243e+00
353  1.0037450172412854e+00  1.2578427601493471e+00
354  1.0037450172412818e+00  1.2568999076057024e+00
355  1.0037450172412834e+00  1.2581586842725472e+00
356  1.0037450172412838e+00  1.2569172303264957e+00
357  1.0037450172412821e+00  1.2551727955439380e+00
358  1.0037450172412845e+00  1.2577956769398912e+00
359  1.0037450172412825e+00  1.2560270775135893e+00
360  1.0037450172412863e+00  1.2567444168833961e+00
361  1.0037450172412825e+00  1.2579262658624282e+00
362  1.0037450172412852e+00  1.2551390736526173e+00
363  1.0037450172412865e+00  1.2564183618899034e+00
364  1.0037450172412830e+00  1.2554903709026131e+00
365  1.0037450172412834e+00  1.2551377178658412e+00
366  1.0037450172412838e+00  1.2565492225503345e+00
367  1.0037450172412805e+00  1.2585593506524670e+00
368  1.0037450172412909e+00  1.2571432621371552e+00
369  1.0037450172412838e+00  1.2585995525623666e+00
370  1.0037450172412838e+00  1.2573538078115525e+00
371  1.0037450172412838e+00  1.2581117571382339e+00
372  1.0037450172412850e+00  1.2562448209945061e+00
373  1.0037450172412832e+00  1.2572749877528355e+00
374  1.0037450172412838e+00  1.2576598024934740e+00
375  1.0037450172412834e+00  1.2556780453663456e+00
376  1.0037450172412861e+00  1.2565418252061789e+00
377  1.0037450172412838e+00  1.2547498555080074e+00
378  1.0037450172412892e+00  1.2550559359002045e+00
379  1.0037450172412823e+00  1.2572487446532330e+00
380  1.0037450172412861e+00  1.2568191878103394e+00
381  1.0037450172412885e+00  1.2572069254714189e+00
382  1.0037450172412894e+00  1.2545238992218186e+00
383  1.0037450172412834e+00  1.2554637798388040e+00
384  1.0037450172412832e+00  1.2561384711115045e+00
385  1.0037450172412823e+00  1.2550761699521773e+00
386  1.0037450172412836e+00  1.2545809761893465e+00
387  1.0037450172412881e+00  1.2544687179162266e+00
388  1.0037450172412818e+00  1.2551693213990494e+00
389  1.0037450172412887e+00  1.2561503691008338e+00
390  1.0037450172412836e+00  1.2550429071609699e+00
391  1.0037450172412863e+00  1.2549571185159794e+00
392  1.0037450172412867e+00  1.2565008222718530e+00
393  1.0037450172412847e+00  1.2562068487523417e+00
394  1.0037450172412881e+00  1.2558018174012293e+00
395  1.0037450172412856e+00  1.2582203416842570e+00
396  1.0037450172412858e+00  1.2551913783052964e+00
397  1.0037450172412881e+00  1.2552131914251805e+00
398  1.0037450172412841e+00  1.2566867657966552e+00
399  1.0037450172412858e+00  1.2553634178696467e+00
400  1.0037450172412825e+00  1.2568528777128671e+00
401  1.0037450172412834e+00  1.2575262295734571e+00
402  1.0037450172412863e+00  1.2583273067059575e+00
403  1.0037450172412847e+00  1.2572369888349504e+00
404  1.0037450172412852e+00  1.2569711164878208e+00
405  1.0037450172412867e+00  1.2573322380700069e+00
406  1.0037450172412807e+00  1.2587386099780045e+00
407  1.0037450172412858e+00  1.2588062396094091e+00
408  1.0037450172412858e+00  1.2579815194157342e+00
409  1.0037450172412894e+00  1.2569327873455840e+00
